parent_id,name,phone,occupation,address,student_id
P00169,Mahlet Girma,0928693354,Engineer,Kality,ST00169
P00170,Genet Kebede,0968268088,Government Employee,Kolfe,ST00170
P00171,Bereket Solomon,0951371206,Driver,Kolfe,ST00171
P00172,Yonatan Kebede,0945631140,Merchant,Alem Bank,ST00172
P00173,Natnael Kassa,0997650265,Merchant,Lebu,ST00173
P00174,Liya Yohannes,0941015076,Farmer,Lebu,ST00174
P00175,Meron Tsegaye,0980646114,Engineer,Nefas Silk,ST00175
P00176,Solomon Worku,0945046228,Farmer,Kality,ST00176
P00177,Tigist Hailu,0944434502,Farmer,Kolfe,ST00177
P00178,Kaleb Bekele,0949545355,Farmer,Lebu,ST00178
P00179,Almaz Hailu,0958008542,Farmer,Nefas Silk,ST00179
P00180,Kidus Kebede,0986402019,Teacher,Nefas Silk,ST00180
P00181,Rediet Getachew,0961089353,Nurse,Kality,ST00181
P00182,Saba Alemu,0958164537,Teacher,Akaki,ST00182
P00183,Meron Alemu,0943504938,Government Employee,Lebu,ST00183
P00184,Rahel Tadesse,0969926592,Merchant,Nefas Silk,ST00184
P00185,Yonatan Girma,0983839620,Teacher,Akaki,ST00185
P00186,Solomon Kebede,0978723318,Merchant,Kality,ST00186
P00187,Yonatan Alemu,0945238327,Farmer,Nefas Silk,ST00187
P00188,Henok Tsegaye,0973831372,Driver,Nefas Silk,ST00188
P00189,Meron Tsegaye,0978025016,Engineer,Lebu,ST00189
P00190,Robel Solomon,0960962388,Teacher,Akaki,ST00190
P00191,Betelhem Desta,0920312878,Driver,Lebu,ST00191
P00192,Biruk Solomon,0912647536,Teacher,Nefas Silk,ST00192
P00193,Genet Kebede,0952244697,Driver,Akaki,ST00193
P00194,Natnael Nigatu,0958036653,Farmer,Kality,ST00194
P00195,Betelhem Yohannes,0919081862,Government Employee,Alem Bank,ST00195
P00196,Yosef Kassa,0992345813,Engineer,Lebu,ST00196
P00197,Liya Worku,0992114760,Nurse,Alem Bank,ST00197
P00198,Yosef Tsegaye,0992799476,Teacher,Kality,ST00198
P00199,Dawit Tesema,0918764274,Driver,Akaki,ST00199
P00200,Natnael Getachew,0980625551,Farmer,Lebu,ST00200
P00201,Rahel Fekadu,0990819861,Teacher,Alem Bank,ST00201
P00202,Biruk Hailu,0937400692,Driver,Kolfe,ST00202
P00203,Kaleb Kassa,0976635387,Merchant,Kolfe,ST00203
P00204,Henok Alemu,0985118393,Teacher,Alem Bank,ST00204
P00205,Yonatan Alemu,0915910137,Nurse,Kality,ST00205
P00206,Biniam Desta,0944860250,Driver,Kality,ST00206
P00207,Henok Fekadu,0985151937,Teacher,Alem Bank,ST00207
P00208,Genet Tesfaye,0957765658,Government Employee,Alem Bank,ST00208
P00209,Biruk Tesema,0960534989,Merchant,Akaki,ST00209
P00210,Bereket Kebede,0933529297,Merchant,Kolfe,ST00210
P00211,Henok Nigatu,0998783483,Merchant,Lebu,ST00211
P00212,Abel Solomon,0950332413,Farmer,Nefas Silk,ST00212
P00213,Tigist Kebede,0999331101,Farmer,Akaki,ST00213
P00214,Rediet Girma,0928522083,Teacher,Nefas Silk,ST00214
P00215,Henok Tesema,0912059643,Driver,Lebu,ST00215
P00216,Eden Kebede,0948347463,Merchant,Kality,ST00216
P00217,Samrawit Nigatu,0954218008,Driver,Kality,ST00217
P00218,Mahlet Girma,0951340998,Merchant,Nefas Silk,ST00218
P00219,Abel Kebede,0924919608,Engineer,Lebu,ST00219
P00220,Yosef Kebede,0957681951,Government Employee,Kality,ST00220
P00221,Henok Hailu,0986134044,Driver,Alem Bank,ST00221
P00222,Henok Alemu,0923771648,Driver,Kolfe,ST00222
P00223,Almaz Fikre,0944066869,Engineer,Kality,ST00223
P00224,Robel Kebede,0987639405,Nurse,Akaki,ST00224
P00225,Almaz Tesfaye,0918874443,Farmer,Nefas Silk,ST00225
P00226,Abel Tesema,0979679990,Merchant,Alem Bank,ST00226
P00227,Filmon Tsegaye,0919798773,Merchant,Alem Bank,ST00227
P00228,Genet Tsegaye,0979253169,Government Employee,Nefas Silk,ST00228
P00229,Yonatan Tsegaye,0989768990,Farmer,Akaki,ST00229
P00230,Rediet Desta,0944346128,Merchant,Alem Bank,ST00230
P00231,Fikirte Solomon,0963352276,Driver,Lebu,ST00231
P00232,Samrawit Worku,0960862036,Merchant,Nefas Silk,ST00232
P00233,Mahlet Tesfaye,0988175415,Nurse,Akaki,ST00233
P00234,Nahom Hailu,0970669775,Driver,Lebu,ST00234
P00235,Samrawit Abebe,0912244594,Engineer,Kality,ST00235
P00236,Solomon Bekele,0994487188,Nurse,Nefas Silk,ST00236
P00237,Almaz Desta,0953219050,Farmer,Kolfe,ST00237
P00238,Biniam Mekonnen,0978616912,Merchant,Alem Bank,ST00238
P00239,Tewodros Fikre,0976006105,Engineer,Lebu,ST00239
P00240,Fikirte Fikre,0933225299,Teacher,Alem Bank,ST00240
P00241,Selam Yohannes,0969545527,Driver,Kality,ST00241
P00242,Solomon Yohannes,0965790021,Driver,Kality,ST00242
P00243,Kaleb Girma,0936170484,Driver,Alem Bank,ST00243
P00244,Betelhem Fekadu,0990572406,Teacher,Kolfe,ST00244
P00245,Solomon Getachew,0976284665,Driver,Alem Bank,ST00245
P00246,Eden Getachew,0929320796,Engineer,Akaki,ST00246
P00247,Natnael Yohannes,0941871397,Teacher,Alem Bank,ST00247
P00248,Yonatan Bekele,0970889172,Nurse,Lebu,ST00248
P00249,Dawit Fekadu,0950929881,Teacher,Kolfe,ST00249
P00250,Ruth Girma,0985248374,Farmer,Lebu,ST00250
P00251,Meron Girma,0985770355,Driver,Lebu,ST00251
P00252,Genet Kassa,0940303261,Driver,Akaki,ST00252
P00253,Ruth Solomon,0959369541,Engineer,Nefas Silk,ST00253
P00254,Ruth Getachew,0989561391,Teacher,Lebu,ST00254
P00255,Yosef Kebede,0948284582,Nurse,Kality,ST00255
P00256,Bereket Kebede,0939126864,Government Employee,Kality,ST00256
P00257,Almaz Nigatu,0958470060,Government Employee,Kality,ST00257
P00258,Tigist Tesfaye,0999674973,Nurse,Kality,ST00258
P00259,Bereket Tsegaye,0922005606,Engineer,Akaki,ST00259
P00260,Yosef Worku,0974677742,Government Employee,Kality,ST00260
P00261,Bereket Tadesse,0924478552,Farmer,Alem Bank,ST00261
P00262,Bereket Kassa,0918810072,Farmer,Kolfe,ST00262
P00263,Mahlet Tesfaye,0946610336,Driver,Alem Bank,ST00263
P00264,Bethlehem Solomon,0999064258,Nurse,Lebu,ST00264
P00265,Elias Fikre,0987364964,Merchant,Akaki,ST00265
P00266,Elias Kebede,0992400019,Farmer,Nefas Silk,ST00266
P00267,Kaleb Fekadu,0924885878,Teacher,Akaki,ST00267
P00268,Bereket Getachew,0971987057,Farmer,Nefas Silk,ST00268
P00269,Mekdes Girma,0941885116,Merchant,Akaki,ST00269
P00270,Bereket Mekonnen,0978038781,Engineer,Kolfe,ST00270
P00271,Genet Tesema,0996600343,Teacher,Akaki,ST00271
P00272,Liya Tesema,0920811836,Merchant,Alem Bank,ST00272
P00273,Ruth Mekonnen,0976656036,Nurse,Nefas Silk,ST00273
P00274,Saba Desta,0914106369,Farmer,Nefas Silk,ST00274
P00275,Biniam Solomon,0933077979,Nurse,Kality,ST00275
P00276,Dawit Hailu,0974094652,Driver,Alem Bank,ST00276
P00277,Tigist Girma,0970967274,Driver,Kality,ST00277
P00278,Daniel Getachew,0911900312,Driver,Lebu,ST00278
P00279,Yosef Yohannes,0956280543,Nurse,Alem Bank,ST00279
P00280,Genet Alemu,0915920348,Farmer,Kolfe,ST00280
P00281,Samuel Desta,0961025084,Farmer,Lebu,ST00281
P00282,Tigist Mekonnen,0916338436,Government Employee,Akaki,ST00282
P00283,Liya Tesema,0995565796,Government Employee,Nefas Silk,ST00283
P00284,Henok Tadesse,0944607356,Driver,Lebu,ST00284
P00285,Dawit Worku,0995401710,Nurse,Lebu,ST00285
P00286,Henok Mekonnen,0924514141,Government Employee,Akaki,ST00286
P00287,Selam Abebe,0978951542,Government Employee,Akaki,ST00287
P00288,Solomon Abebe,0911145635,Nurse,Akaki,ST00288
P00289,Rahel Girma,0930268237,Teacher,Nefas Silk,ST00289
P00290,Daniel Tesfaye,0999193951,Government Employee,Kality,ST00290
P00291,Biniam Fikre,0990679377,Government Employee,Lebu,ST00291
P00292,Mahlet Girma,0980245808,Farmer,Lebu,ST00292
P00293,Tigist Tadesse,0913176126,Government Employee,Kality,ST00293
P00294,Yared Desta,0944566031,Merchant,Kolfe,ST00294
P00295,Bethlehem Kassa,0921325482,Nurse,Nefas Silk,ST00295
P00296,Tewodros Mekonnen,0992344943,Merchant,Kolfe,ST00296
P00297,Samrawit Alemu,0919462184,Teacher,Kality,ST00297
P00298,Robel Desta,0910713156,Government Employee,Akaki,ST00298
P00299,Nahom Desta,0989633051,Government Employee,Akaki,ST00299
P00300,Betelhem Abebe,0930027401,Government Employee,Kality,ST00300
P00301,Selam Mekonnen,0962158979,Engineer,Alem Bank,ST00301
P00302,Elias Desta,0952959717,Government Employee,Alem Bank,ST00302
P00303,Dawit Worku,0912109016,Government Employee,Akaki,ST00303
P00304,Dawit Girma,0990419816,Teacher,Kolfe,ST00304
P00305,Tigist Tesema,0936479833,Merchant,Kality,ST00305
P00306,Liya Worku,0930585836,Government Employee,Kolfe,ST00306
P00307,Elias Desta,0939380356,Government Employee,Akaki,ST00307
P00308,Tigist Yohannes,0998328668,Nurse,Alem Bank,ST00308
P00309,Betelhem Girma,0993511123,Driver,Alem Bank,ST00309
P00310,Yosef Mekonnen,0957355243,Merchant,Kolfe,ST00310
P00311,Hana Yohannes,0956659981,Engineer,Lebu,ST00311
P00312,Almaz Kassa,0914196304,Nurse,Akaki,ST00312
P00313,Tewodros Getachew,0986551787,Teacher,Lebu,ST00313
P00314,Ruth Getachew,0981630273,Engineer,Alem Bank,ST00314
P00315,Kidus Getachew,0919441065,Government Employee,Akaki,ST00315
P00316,Saron Solomon,0939788693,Farmer,Alem Bank,ST00316
P00317,Betelhem Fikre,0913843829,Teacher,Kality,ST00317
P00318,Eden Desta,0978505082,Driver,Kolfe,ST00318
P00319,Samuel Nigatu,0939896356,Government Employee,Lebu,ST00319
P00320,Yared Fekadu,0995251020,Engineer,Lebu,ST00320
P00321,Fikirte Tsegaye,0918760310,Driver,Nefas Silk,ST00321
P00322,Fikirte Tesfaye,0997692157,Merchant,Nefas Silk,ST00322
P00323,Tigist Tesema,0950976933,Driver,Kolfe,ST00323
P00324,Bereket Mekonnen,0927839024,Nurse,Nefas Silk,ST00324
P00325,Selam Worku,0992265775,Nurse,Kolfe,ST00325
P00326,Hana Worku,0940968249,Driver,Alem Bank,ST00326
P00327,Rediet Tsegaye,0921731260,Driver,Alem Bank,ST00327
P00328,Mekdes Fekadu,0990066017,Merchant,Kolfe,ST00328
P00329,Abel Kebede,0943971913,Teacher,Nefas Silk,ST00329
P00330,Meron Tadesse,0941074470,Nurse,Lebu,ST00330
P00331,Kidus Tadesse,0968434477,Engineer,Alem Bank,ST00331
P00332,Tewodros Fikre,0934210846,Teacher,Alem Bank,ST00332
P00333,Betelhem Girma,0967795037,Driver,Alem Bank,ST00333
P00334,Yonatan Fekadu,0999985470,Teacher,Lebu,ST00334
P00335,Bethlehem Bekele,0984385918,Teacher,Lebu,ST00335
P00336,Genet Nigatu,0942710134,Teacher,Kality,ST00336
P00337,Saba Worku,0980816211,Farmer,Alem Bank,ST00337
P00338,Samrawit Tesema,0989110907,Driver,Alem Bank,ST00338
P00339,Elias Fikre,0953935379,Farmer,Nefas Silk,ST00339
P00340,Liya Solomon,0932241858,Government Employee,Akaki,ST00340
P00341,Liya Abebe,0925259385,Teacher,Lebu,ST00341
P00342,Tigist Worku,0946592861,Engineer,Lebu,ST00342
P00343,Saba Fekadu,0930162464,Engineer,Kolfe,ST00343
P00344,Yared Tadesse,0967634110,Driver,Nefas Silk,ST00344
P00345,Daniel Getachew,0912362489,Engineer,Kolfe,ST00345
P00346,Rediet Abebe,0978258680,Driver,Kolfe,ST00346
P00347,Betelhem Solomon,0948613915,Nurse,Kality,ST00347
P00348,Samuel Yohannes,0983321468,Teacher,Akaki,ST00348
P00349,Yosef Yohannes,0943472991,Driver,Lebu,ST00349
P00350,Liya Getachew,0933891726,Driver,Kolfe,ST00350
P00351,Samuel Getachew,0956619613,Teacher,Lebu,ST00351
P00352,Mahlet Kassa,0973997217,Farmer,Akaki,ST00352
P00353,Samrawit Worku,0923867157,Teacher,Kality,ST00353
P00354,Tigist Fikre,0989658074,Nurse,Alem Bank,ST00354
P00355,Bereket Solomon,0967086494,Merchant,Lebu,ST00355
P00356,Hana Tsegaye,0931825173,Nurse,Alem Bank,ST00356
P00357,Biruk Getachew,0982476463,Nurse,Nefas Silk,ST00357
P00358,Hana Kassa,0959065979,Driver,Nefas Silk,ST00358
P00359,Solomon Tsegaye,0941590659,Merchant,Lebu,ST00359
P00360,Nahom Tesfaye,0933651718,Teacher,Nefas Silk,ST00360
P00361,Mahlet Mekonnen,0939733977,Teacher,Nefas Silk,ST00361
P00362,Bereket Bekele,0913197389,Farmer,Kolfe,ST00362
P00363,Genet Kassa,0934391837,Engineer,Lebu,ST00363
P00364,Samrawit Abebe,0953731481,Merchant,Alem Bank,ST00364
P00365,Liya Kebede,0995419538,Farmer,Kality,ST00365
P00366,Bethlehem Bekele,0975490125,Merchant,Nefas Silk,ST00366
P00367,Saron Desta,0987007917,Merchant,Kolfe,ST00367
P00368,Elias Kebede,0982367698,Government Employee,Alem Bank,ST00368
P00369,Almaz Fekadu,0971557596,Farmer,Lebu,ST00369
P00370,Saron Bekele,0981704187,Farmer,Nefas Silk,ST00370
P00371,Yonatan Tesfaye,0995761997,Engineer,Nefas Silk,ST00371
P00372,Saba Tsegaye,0923265831,Teacher,Lebu,ST00372
P00373,Selam Abebe,0933303714,Engineer,Kolfe,ST00373
P00374,Samrawit Hailu,0975010053,Driver,Nefas Silk,ST00374
P00375,Hana Solomon,0939273514,Driver,Lebu,ST00375
P00376,Liya Hailu,0983884908,Farmer,Lebu,ST00376
P00377,Natnael Worku,0948166306,Teacher,Lebu,ST00377
P00378,Fikirte Kassa,0953251261,Teacher,Kolfe,ST00378
P00379,Saron Desta,0947834013,Teacher,Akaki,ST00379
P00380,Betelhem Hailu,0988708505,Farmer,Kolfe,ST00380
P00381,Biruk Tadesse,0961932634,Teacher,Lebu,ST00381
P00382,Bereket Tadesse,0940332298,Merchant,Lebu,ST00382
P00383,Liya Tsegaye,0938342825,Teacher,Akaki,ST00383
P00384,Hiwot Worku,0928132768,Engineer,Alem Bank,ST00384
P00385,Nahom Tadesse,0926531912,Teacher,Kality,ST00385
P00386,Abel Kebede,0927573800,Government Employee,Nefas Silk,ST00386
P00387,Mahlet Kassa,0952165014,Teacher,Akaki,ST00387
P00388,Biruk Yohannes,0974556681,Driver,Akaki,ST00388
P00389,Robel Tesfaye,0980965623,Nurse,Akaki,ST00389
P00390,Bereket Girma,0933472400,Government Employee,Akaki,ST00390
P00391,Rahel Tesfaye,0971541004,Merchant,Kality,ST00391
P00392,Biruk Tesema,0966393262,Nurse,Lebu,ST00392
P00393,Nahom Mekonnen,0956088927,Driver,Lebu,ST00393
P00394,Eden Girma,0974027888,Driver,Lebu,ST00394
P00395,Genet Tesfaye,0911521947,Teacher,Kolfe,ST00395
P00396,Rahel Nigatu,0968586931,Farmer,Alem Bank,ST00396
P00397,Fikirte Fikre,0943363218,Teacher,Kolfe,ST00397
P00398,Daniel Girma,0991636691,Engineer,Akaki,ST00398
P00399,Kidus Tesfaye,0961012473,Farmer,Kolfe,ST00399
P00400,Fikirte Desta,0910177319,Engineer,Kolfe,ST00400
P00401,Genet Fekadu,0936148171,Engineer,Nefas Silk,ST00401
P00402,Dawit Fikre,0957506324,Government Employee,Nefas Silk,ST00402
P00403,Solomon Yohannes,0939638483,Government Employee,Kality,ST00403
P00404,Fikirte Worku,0976466728,Teacher,Lebu,ST00404
P00405,Solomon Bekele,0985529673,Engineer,Akaki,ST00405
P00406,Daniel Solomon,0994036707,Farmer,Lebu,ST00406
P00407,Hana Alemu,0963307110,Engineer,Akaki,ST00407
P00408,Kidus Tadesse,0930510153,Engineer,Lebu,ST00408
