student_id,first_name,last_name,gender,grade,section,branch,date_of_birth
ST00029,Ruth,Tesfaye,F,Grade 1,C,Akaki Campus,2016-09-15
ST00030,Henok,Fikre,M,Grade 10,A,Alem Bank Campus,2016-05-24
ST00031,Robel,Tadesse,M,Grade 1,A,Akaki Campus,2007-12-25
ST00032,Biruk,Yohannes,M,Grade 6,A,Akaki Campus,2014-03-30
ST00033,Samrawit,Tesfaye,F,Grade 9,B,Alem Bank Campus,2011-05-23
ST00034,Daniel,Abebe,M,Grade 4,B,Nefas Silk Campus,2007-06-03
ST00035,Abel,Fekadu,M,Grade 10,C,Alem Bank Campus,2015-09-08
ST00036,Mekdes,Worku,F,Grade 6,C,Akaki Campus,2015-12-01
ST00037,Dawit,Tadesse,M,Grade 1,C,Alem Bank Campus,2013-12-18
ST00038,Filmon,Fikre,M,Grade 12,B,Akaki Campus,2008-08-18
ST00039,Hiwot,Kebede,F,Grade 2,C,Akaki Campus,2012-08-23
ST00040,Tewodros,Worku,M,Grade 2,B,Alem Bank Campus,2015-05-24
ST00041,Bereket,Getachew,M,Grade 7,B,Alem Bank Campus,2017-03-05
ST00042,Natnael,Worku,M,Grade 7,B,Alem Bank Campus,2015-11-26
ST00043,Filmon,Tsegaye,M,Grade 11,B,Akaki Campus,2007-10-26
ST00044,Tewodros,Tsegaye,M,Grade 12,A,Alem Bank Campus,2016-06-10
ST00045,Dawit,Desta,M,Grade 9,B,Nefas Silk Campus,2017-10-06
ST00046,Biruk,Fikre,M,Grade 12,C,Akaki Campus,2011-03-09
ST00047,Filmon,Kebede,M,Grade 1,A,Nefas Silk Campus,2015-07-04
ST00048,Tewodros,Worku,M,Grade 10,B,Alem Bank Campus,2012-05-29
ST00049,Yosef,Nigatu,M,Grade 5,B,Alem Bank Campus,2008-01-03
ST00050,Meron,Bekele,F,Grade 9,A,Nefas Silk Campus,2017-06-14
ST00051,Mekdes,Solomon,F,Grade 8,A,Akaki Campus,2011-01-24
ST00052,Eden,Kebede,F,Grade 9,C,Nefas Silk Campus,2011-04-15
ST00053,Elias,Tadesse,M,Grade 12,A,Akaki Campus,2010-10-30
ST00054,Genet,Mekonnen,F,Grade 12,C,Nefas Silk Campus,2010-12-19
ST00055,Betelhem,Tesema,F,Grade 11,B,Alem Bank Campus,2014-11-19
ST00056,Meron,Bekele,F,Grade 4,C,Akaki Campus,2014-01-03
ST00057,Henok,Yohannes,M,Grade 11,C,Nefas Silk Campus,2008-04-16
ST00058,Robel,Fekadu,M,Grade 12,B,Akaki Campus,2013-09-13
ST00059,Kaleb,Solomon,M,Grade 5,C,Akaki Campus,2010-10-28
ST00060,Robel,Tsegaye,M,Grade 10,B,Alem Bank Campus,2013-12-05
ST00061,Meron,Kebede,F,Grade 8,A,Alem Bank Campus,2007-08-06
ST00062,Almaz,Tsegaye,F,Grade 5,A,Nefas Silk Campus,2015-03-28
ST00063,Tewodros,Mekonnen,M,Grade 7,A,Alem Bank Campus,2014-03-05
ST00064,Hana,Fekadu,F,Grade 8,B,Alem Bank Campus,2012-12-21
ST00065,Saron,Kassa,F,Grade 3,B,Akaki Campus,2011-05-29
ST00066,Bereket,Tesfaye,M,Grade 2,A,Akaki Campus,2016-12-20
ST00067,Samuel,Nigatu,M,Grade 2,C,Nefas Silk Campus,2009-10-05
ST00068,Fikirte,Fekadu,F,Grade 3,B,Alem Bank Campus,2015-05-05
ST00069,Selam,Tesema,F,Grade 8,A,Nefas Silk Campus,2007-12-19
ST00070,Fikirte,Girma,F,Grade 1,A,Alem Bank Campus,2016-08-21
ST00071,Mahlet,Alemu,F,Grade 7,C,Akaki Campus,2017-04-22
ST00072,Meron,Bekele,F,Grade 8,C,Nefas Silk Campus,2010-05-08
ST00073,Kidus,Nigatu,M,Grade 8,C,Alem Bank Campus,2015-02-10
ST00074,Yonatan,Tesfaye,M,Grade 11,B,Alem Bank Campus,2011-03-06
ST00075,Solomon,Hailu,M,Grade 1,C,Akaki Campus,2010-07-29
ST00076,Mahlet,Fikre,F,Grade 5,A,Alem Bank Campus,2012-11-25
ST00077,Genet,Hailu,F,Grade 6,C,Alem Bank Campus,2008-10-26
ST00078,Yonatan,Kebede,M,Grade 10,C,Alem Bank Campus,2013-07-18
ST00079,Yonatan,Abebe,M,Grade 1,A,Nefas Silk Campus,2008-03-18
ST00080,Filmon,Nigatu,M,Grade 12,A,Alem Bank Campus,2007-01-26
ST00081,Rahel,Kebede,F,Grade 9,C,Akaki Campus,2009-05-16
ST00082,Henok,Fikre,M,Grade 9,B,Nefas Silk Campus,2016-08-17
ST00083,Kaleb,Hailu,M,Grade 5,A,Akaki Campus,2010-05-11
ST00084,Rediet,Fekadu,F,Grade 11,C,Akaki Campus,2010-01-19
ST00085,Yosef,Alemu,M,Grade 4,C,Akaki Campus,2014-10-23
ST00086,Yonatan,Bekele,M,Grade 5,B,Alem Bank Campus,2013-02-25
ST00087,Mahlet,Tsegaye,F,Grade 2,B,Alem Bank Campus,2009-12-22
ST00088,Filmon,Tesema,M,Grade 7,B,Alem Bank Campus,2014-04-17
ST00089,Tigist,Tadesse,F,Grade 6,C,Akaki Campus,2016-12-02
ST00090,Dawit,Mekonnen,M,Grade 7,A,Alem Bank Campus,2016-06-15
ST00091,Liya,Getachew,F,Grade 3,A,Akaki Campus,2008-06-09
ST00092,Selam,Tsegaye,F,Grade 8,C,Akaki Campus,2016-10-07
ST00093,Eden,Worku,F,Grade 11,A,Nefas Silk Campus,2015-04-25
ST00094,Almaz,Tsegaye,F,Grade 7,C,Nefas Silk Campus,2016-05-21
ST00095,Ruth,Tesfaye,F,Grade 9,C,Akaki Campus,2011-05-19
ST00096,Hana,Alemu,F,Grade 2,B,Akaki Campus,2011-08-26
ST00097,Yared,Hailu,M,Grade 12,A,Alem Bank Campus,2017-04-03
ST00098,Samuel,Mekonnen,M,Grade 5,B,Nefas Silk Campus,2011-06-27
ST00099,Tigist,Alemu,F,Grade 6,A,Alem Bank Campus,2007-12-17
ST00100,Samrawit,Tesfaye,F,Grade 6,C,Alem Bank Campus,2015-12-13
ST00101,Liya,Desta,F,Grade 5,A,Akaki Campus,2014-08-26
ST00102,Henok,Tadesse,M,Grade 9,B,Alem Bank Campus,2014-11-23
ST00103,Abel,Tsegaye,M,Grade 7,C,Nefas Silk Campus,2007-10-07
ST00104,Tewodros,Tadesse,M,Grade 3,A,Alem Bank Campus,2010-04-04
ST00105,Eden,Kebede,F,Grade 6,B,Nefas Silk Campus,2013-11-30
ST00106,Abel,Tsegaye,M,Grade 9,A,Alem Bank Campus,2014-10-08
ST00107,Bereket,Kebede,M,Grade 11,A,Nefas Silk Campus,2009-10-20
ST00108,Rediet,Tadesse,F,Grade 8,C,Akaki Campus,2009-07-25
ST00109,Henok,Yohannes,M,Grade 5,B,Nefas Silk Campus,2011-09-14
ST00110,Tigist,Tsegaye,F,Grade 2,B,Alem Bank Campus,2015-12-01
ST00111,Kaleb,Tesfaye,M,Grade 6,B,Alem Bank Campus,2007-01-06
ST00112,Meron,Yohannes,F,Grade 8,B,Alem Bank Campus,2014-08-26
ST00113,Almaz,Tsegaye,F,Grade 7,C,Alem Bank Campus,2007-02-28
ST00114,Mekdes,Tesfaye,F,Grade 11,B,Alem Bank Campus,2012-01-24
ST00115,Samuel,Hailu,M,Grade 9,A,Akaki Campus,2013-06-30
ST00116,Solomon,Kassa,M,Grade 3,C,Akaki Campus,2012-10-29
ST00117,Henok,Kassa,M,Grade 2,A,Alem Bank Campus,2016-03-26
ST00118,Filmon,Girma,M,Grade 4,A,Alem Bank Campus,2011-04-23
ST00119,Bethlehem,Worku,F,Grade 3,A,Alem Bank Campus,2008-11-29
ST00120,Eden,Alemu,F,Grade 7,C,Akaki Campus,2009-05-20
ST00121,Selam,Mekonnen,F,Grade 6,A,Akaki Campus,2011-09-30
ST00122,Hana,Desta,F,Grade 6,C,Alem Bank Campus,2008-07-27
ST00123,Selam,Worku,F,Grade 3,C,Nefas Silk Campus,2007-11-03
ST00124,Yonatan,Fekadu,M,Grade 5,C,Nefas Silk Campus,2017-11-03
ST00125,Abel,Tsegaye,M,Grade 9,A,Akaki Campus,2012-04-17
ST00126,Elias,Worku,M,Grade 9,A,Alem Bank Campus,2016-02-07
ST00127,Bethlehem,Tesfaye,F,Grade 2,A,Akaki Campus,2015-10-19
ST00128,Liya,Desta,F,Grade 5,C,Alem Bank Campus,2014-06-24
ST00129,Dawit,Getachew,M,Grade 8,A,Alem Bank Campus,2017-10-20
ST00130,Kidus,Tesfaye,M,Grade 2,A,Akaki Campus,2011-07-20
ST00131,Samuel,Tsegaye,M,Grade 3,B,Alem Bank Campus,2010-10-17
ST00132,Bereket,Alemu,M,Grade 2,B,Nefas Silk Campus,2007-12-29
ST00133,Genet,Alemu,F,Grade 8,A,Alem Bank Campus,2013-10-01
ST00134,Robel,Fikre,M,Grade 1,B,Alem Bank Campus,2015-07-14
ST00135,Betelhem,Tsegaye,F,Grade 5,A,Nefas Silk Campus,2012-03-23
ST00136,Samuel,Solomon,M,Grade 7,B,Akaki Campus,2017-11-06
ST00137,Mekdes,Mekonnen,F,Grade 1,B,Akaki Campus,2008-09-05
ST00138,Daniel,Tesfaye,M,Grade 4,B,Nefas Silk Campus,2015-05-17
ST00139,Dawit,Fekadu,M,Grade 8,C,Akaki Campus,2008-12-28
ST00140,Samrawit,Girma,F,Grade 8,C,Akaki Campus,2012-07-01
ST00141,Kaleb,Yohannes,M,Grade 8,B,Alem Bank Campus,2010-09-15
ST00142,Biniam,Alemu,M,Grade 4,C,Nefas Silk Campus,2016-09-06
ST00143,Nahom,Hailu,M,Grade 10,C,Akaki Campus,2009-01-26
ST00144,Selam,Tesema,F,Grade 7,C,Alem Bank Campus,2014-06-06
ST00145,Samrawit,Abebe,F,Grade 12,C,Akaki Campus,2015-01-31
ST00146,Mekdes,Nigatu,F,Grade 2,A,Alem Bank Campus,2015-05-30
ST00147,Tewodros,Bekele,M,Grade 7,B,Nefas Silk Campus,2010-03-15
ST00148,Daniel,Kebede,M,Grade 3,A,Alem Bank Campus,2012-04-03
ST00149,Ruth,Solomon,F,Grade 5,B,Alem Bank Campus,2013-02-09
ST00150,Kaleb,Kebede,M,Grade 6,C,Nefas Silk Campus,2007-07-26
ST00151,Mekdes,Solomon,F,Grade 12,A,Nefas Silk Campus,2013-05-27
ST00152,Hiwot,Abebe,F,Grade 4,B,Alem Bank Campus,2013-02-10
ST00153,Daniel,Yohannes,M,Grade 4,B,Akaki Campus,2013-09-04
ST00154,Hiwot,Mekonnen,F,Grade 2,A,Akaki Campus,2011-02-04
ST00155,Meron,Worku,F,Grade 7,B,Akaki Campus,2011-08-31
ST00156,Rahel,Kebede,F,Grade 3,A,Alem Bank Campus,2017-01-17
ST00157,Abel,Fekadu,M,Grade 2,A,Alem Bank Campus,2009-02-03
ST00158,Betelhem,Kassa,F,Grade 8,C,Alem Bank Campus,2014-08-03
ST00159,Samrawit,Fikre,F,Grade 4,C,Akaki Campus,2012-03-27
ST00160,Kaleb,Tesfaye,M,Grade 2,B,Nefas Silk Campus,2016-10-10
ST00161,Hana,Fekadu,F,Grade 4,B,Nefas Silk Campus,2007-04-11
ST00162,Natnael,Abebe,M,Grade 4,A,Nefas Silk Campus,2012-07-19
ST00163,Daniel,Worku,M,Grade 5,A,Akaki Campus,2007-03-17
ST00164,Yosef,Alemu,M,Grade 6,A,Alem Bank Campus,2007-09-06
ST00165,Elias,Tesema,M,Grade 5,A,Alem Bank Campus,2007-12-17
ST00166,Kidus,Worku,M,Grade 7,B,Akaki Campus,2012-10-31
ST00167,Ruth,Kassa,F,Grade 5,C,Nefas Silk Campus,2007-10-18
ST00168,Samrawit,Abebe,F,Grade 7,A,Akaki Campus,2013-10-08
ST00169,Saron,Kassa,F,Grade 7,A,Alem Bank Campus,2013-04-28
ST00170,Henok,Tesema,M,Grade 4,A,Nefas Silk Campus,2012-03-28
ST00171,Daniel,Hailu,M,Grade 5,C,Alem Bank Campus,2008-07-27
ST00172,Natnael,Desta,M,Grade 1,B,Nefas Silk Campus,2011-07-10
ST00173,Biniam,Girma,M,Grade 1,A,Alem Bank Campus,2011-04-11
ST00174,Abel,Solomon,M,Grade 3,C,Nefas Silk Campus,2012-10-04
ST00175,Dawit,Tesfaye,M,Grade 4,A,Nefas Silk Campus,2013-10-29
ST00176,Henok,Kebede,M,Grade 8,C,Akaki Campus,2011-05-30
ST00177,Rahel,Worku,F,Grade 12,A,Alem Bank Campus,2007-06-04
ST00178,Samrawit,Kassa,F,Grade 10,A,Nefas Silk Campus,2008-02-16
ST00179,Filmon,Yohannes,M,Grade 8,B,Nefas Silk Campus,2010-06-08
ST00180,Eden,Bekele,F,Grade 2,C,Akaki Campus,2011-06-28
ST00181,Kaleb,Kebede,M,Grade 12,A,Alem Bank Campus,2015-05-26
ST00182,Ruth,Nigatu,F,Grade 10,A,Nefas Silk Campus,2017-12-02
ST00183,Abel,Desta,M,Grade 9,C,Alem Bank Campus,2009-02-22
ST00184,Betelhem,Mekonnen,F,Grade 1,A,Akaki Campus,2012-09-19
ST00185,Filmon,Worku,M,Grade 3,C,Alem Bank Campus,2015-08-13
ST00186,Almaz,Fikre,F,Grade 2,C,Alem Bank Campus,2012-08-24
ST00187,Fikirte,Bekele,F,Grade 8,A,Alem Bank Campus,2007-05-12
ST00188,Yonatan,Yohannes,M,Grade 11,A,Nefas Silk Campus,2015-07-17
ST00189,Mekdes,Nigatu,F,Grade 3,A,Nefas Silk Campus,2011-01-24
ST00190,Filmon,Desta,M,Grade 9,B,Alem Bank Campus,2008-11-30
ST00191,Dawit,Hailu,M,Grade 2,C,Nefas Silk Campus,2009-12-24
ST00192,Biruk,Abebe,M,Grade 12,B,Akaki Campus,2008-03-06
ST00193,Henok,Bekele,M,Grade 5,A,Akaki Campus,2014-05-04
ST00194,Biniam,Fikre,M,Grade 8,B,Akaki Campus,2010-01-04
ST00195,Yosef,Desta,M,Grade 2,B,Alem Bank Campus,2017-02-11
ST00196,Tewodros,Girma,M,Grade 7,C,Alem Bank Campus,2010-06-10
ST00197,Genet,Nigatu,F,Grade 6,B,Nefas Silk Campus,2010-09-18
ST00198,Fikirte,Girma,F,Grade 12,B,Alem Bank Campus,2007-05-14
ST00199,Yared,Worku,M,Grade 7,A,Alem Bank Campus,2011-05-08
ST00200,Rahel,Mekonnen,F,Grade 4,C,Alem Bank Campus,2015-09-26
ST00201,Fikirte,Mekonnen,F,Grade 9,B,Akaki Campus,2012-10-03
ST00202,Biruk,Tesema,M,Grade 12,C,Alem Bank Campus,2012-04-25
ST00203,Biruk,Desta,M,Grade 11,B,Nefas Silk Campus,2014-04-24
ST00204,Yared,Girma,M,Grade 2,A,Akaki Campus,2014-01-01
ST00205,Samuel,Girma,M,Grade 11,C,Akaki Campus,2015-08-07
ST00206,Kidus,Bekele,M,Grade 12,B,Nefas Silk Campus,2011-04-20
ST00207,Filmon,Fikre,M,Grade 12,C,Akaki Campus,2009-03-20
ST00208,Rediet,Hailu,F,Grade 9,B,Akaki Campus,2013-08-08
ST00209,Bethlehem,Hailu,F,Grade 4,A,Alem Bank Campus,2007-03-12
ST00210,Genet,Abebe,F,Grade 6,A,Alem Bank Campus,2008-06-14
ST00211,Samuel,Alemu,M,Grade 10,B,Alem Bank Campus,2009-10-14
ST00212,Filmon,Nigatu,M,Grade 6,C,Nefas Silk Campus,2011-11-17
ST00213,Elias,Worku,M,Grade 2,B,Akaki Campus,2017-11-03
ST00214,Betelhem,Alemu,F,Grade 12,C,Nefas Silk Campus,2012-04-16
ST00215,Tigist,Tesfaye,F,Grade 7,C,Alem Bank Campus,2016-04-15
ST00216,Abel,Tsegaye,M,Grade 5,C,Nefas Silk Campus,2011-02-18
ST00217,Yonatan,Yohannes,M,Grade 7,A,Akaki Campus,2016-09-28
ST00218,Tewodros,Tadesse,M,Grade 9,A,Akaki Campus,2014-09-23
ST00219,Fikirte,Worku,F,Grade 6,B,Akaki Campus,2009-08-04
ST00220,Mahlet,Fekadu,F,Grade 4,B,Nefas Silk Campus,2010-02-13
ST00221,Mahlet,Desta,F,Grade 9,A,Akaki Campus,2012-04-08
ST00222,Liya,Kebede,F,Grade 9,A,Akaki Campus,2016-09-20
ST00223,Rediet,Tesema,F,Grade 3,A,Akaki Campus,2009-01-18
ST00224,Biruk,Tadesse,M,Grade 5,C,Akaki Campus,2009-09-05
ST00225,Mahlet,Solomon,F,Grade 1,C,Akaki Campus,2015-06-25
ST00226,Yared,Mekonnen,M,Grade 10,B,Alem Bank Campus,2014-11-11
ST00227,Meron,Tesfaye,F,Grade 3,A,Nefas Silk Campus,2007-08-28
ST00228,Mekdes,Nigatu,F,Grade 10,C,Alem Bank Campus,2017-04-24
ST00229,Kidus,Kassa,M,Grade 10,C,Alem Bank Campus,2014-01-21
ST00230,Mahlet,Mekonnen,F,Grade 2,A,Akaki Campus,2010-07-08
ST00231,Almaz,Fekadu,F,Grade 2,A,Akaki Campus,2007-06-16
ST00232,Filmon,Alemu,M,Grade 1,C,Nefas Silk Campus,2015-01-04
ST00233,Liya,Tadesse,F,Grade 8,C,Nefas Silk Campus,2009-11-10
ST00234,Natnael,Getachew,M,Grade 3,B,Alem Bank Campus,2017-11-01
ST00235,Saron,Alemu,F,Grade 2,A,Alem Bank Campus,2013-01-02
ST00236,Natnael,Abebe,M,Grade 11,A,Alem Bank Campus,2015-06-08
ST00237,Samuel,Tadesse,M,Grade 6,A,Alem Bank Campus,2008-05-02
ST00238,Samrawit,Getachew,F,Grade 1,A,Akaki Campus,2009-05-11
ST00239,Filmon,Getachew,M,Grade 7,C,Alem Bank Campus,2007-03-20
ST00240,Solomon,Tadesse,M,Grade 12,B,Alem Bank Campus,2009-07-24
ST00241,Mahlet,Alemu,F,Grade 9,A,Nefas Silk Campus,2015-09-16
ST00242,Kidus,Kassa,M,Grade 12,B,Nefas Silk Campus,2014-06-04
ST00243,Tigist,Tesfaye,F,Grade 5,B,Alem Bank Campus,2016-08-09
ST00244,Abel,Hailu,M,Grade 1,C,Nefas Silk Campus,2009-01-19
ST00245,Solomon,Mekonnen,M,Grade 12,A,Nefas Silk Campus,2010-02-17
ST00246,Meron,Tesema,F,Grade 7,C,Akaki Campus,2011-02-18
ST00247,Saron,Solomon,F,Grade 5,A,Akaki Campus,2010-05-10
ST00248,Meron,Kassa,F,Grade 9,A,Akaki Campus,2010-01-29
ST00249,Biruk,Fikre,M,Grade 11,C,Alem Bank Campus,2007-06-25
ST00250,Daniel,Tesema,M,Grade 8,C,Akaki Campus,2014-10-28
ST00251,Biniam,Bekele,M,Grade 5,B,Nefas Silk Campus,2012-08-20
ST00252,Natnael,Girma,M,Grade 11,B,Nefas Silk Campus,2011-01-04
ST00253,Rediet,Bekele,F,Grade 2,C,Akaki Campus,2008-10-21
ST00254,Biniam,Tesema,M,Grade 10,A,Alem Bank Campus,2010-08-21
ST00255,Hiwot,Kebede,F,Grade 9,B,Nefas Silk Campus,2013-01-26
ST00256,Rahel,Tsegaye,F,Grade 7,C,Alem Bank Campus,2016-04-02
ST00257,Saba,Yohannes,F,Grade 12,B,Akaki Campus,2017-03-28
ST00258,Mekdes,Hailu,F,Grade 12,A,Nefas Silk Campus,2013-04-26
ST00259,Meron,Tadesse,F,Grade 11,A,Akaki Campus,2014-09-30
ST00260,Robel,Abebe,M,Grade 2,C,Alem Bank Campus,2008-08-16
ST00261,Nahom,Kebede,M,Grade 6,B,Nefas Silk Campus,2013-08-06
ST00262,Selam,Kebede,F,Grade 5,C,Alem Bank Campus,2012-04-20
ST00263,Mekdes,Yohannes,F,Grade 6,C,Alem Bank Campus,2016-11-11
ST00264,Filmon,Girma,M,Grade 7,B,Nefas Silk Campus,2011-08-26
ST00265,Natnael,Desta,M,Grade 11,A,Akaki Campus,2011-01-02
ST00266,Yonatan,Solomon,M,Grade 2,B,Alem Bank Campus,2009-01-21
ST00267,Henok,Abebe,M,Grade 8,C,Nefas Silk Campus,2010-10-16
ST00268,Bethlehem,Bekele,F,Grade 11,B,Akaki Campus,2009-05-27
ST00269,Liya,Tsegaye,F,Grade 1,B,Nefas Silk Campus,2012-01-09
ST00270,Nahom,Kassa,M,Grade 6,C,Akaki Campus,2015-04-26
ST00271,Betelhem,Nigatu,F,Grade 4,B,Alem Bank Campus,2007-11-11
ST00272,Daniel,Fekadu,M,Grade 5,A,Alem Bank Campus,2013-02-11
ST00273,Tigist,Tesfaye,F,Grade 6,B,Nefas Silk Campus,2015-08-06
ST00274,Mekdes,Hailu,F,Grade 6,C,Nefas Silk Campus,2017-02-09
ST00275,Yosef,Worku,M,Grade 9,B,Akaki Campus,2007-09-14
ST00276,Samrawit,Mekonnen,F,Grade 1,A,Alem Bank Campus,2007-06-19
ST00277,Kidus,Abebe,M,Grade 3,A,Alem Bank Campus,2016-02-26
ST00278,Bethlehem,Solomon,F,Grade 9,C,Alem Bank Campus,2011-10-02
ST00279,Natnael,Kebede,M,Grade 4,B,Nefas Silk Campus,2011-08-04
ST00280,Liya,Alemu,F,Grade 9,A,Alem Bank Campus,2007-06-15
ST00281,Henok,Mekonnen,M,Grade 12,C,Akaki Campus,2014-01-20
ST00282,Bethlehem,Tesfaye,F,Grade 1,C,Akaki Campus,2015-04-24
ST00283,Betelhem,Solomon,F,Grade 7,C,Alem Bank Campus,2009-02-05
ST00284,Daniel,Hailu,M,Grade 5,B,Nefas Silk Campus,2014-07-16
ST00285,Henok,Nigatu,M,Grade 6,B,Akaki Campus,2011-10-12
ST00286,Tigist,Yohannes,F,Grade 7,C,Nefas Silk Campus,2013-07-26
ST00287,Selam,Kebede,F,Grade 9,C,Alem Bank Campus,2016-02-28
ST00288,Bereket,Yohannes,M,Grade 5,B,Akaki Campus,2012-12-06
ST00289,Rediet,Fekadu,F,Grade 3,B,Alem Bank Campus,2011-01-12
ST00290,Yared,Tesema,M,Grade 4,C,Alem Bank Campus,2010-08-22
ST00291,Natnael,Desta,M,Grade 4,B,Akaki Campus,2010-09-14
ST00292,Ruth,Tsegaye,F,Grade 3,A,Akaki Campus,2011-09-17
ST00293,Genet,Mekonnen,F,Grade 8,C,Alem Bank Campus,2017-07-25
ST00294,Hiwot,Mekonnen,F,Grade 9,C,Alem Bank Campus,2011-03-05
ST00295,Yosef,Nigatu,M,Grade 11,C,Nefas Silk Campus,2012-10-03
ST00296,Eden,Solomon,F,Grade 2,A,Akaki Campus,2014-08-05
ST00297,Filmon,Abebe,M,Grade 10,A,Nefas Silk Campus,2011-03-27
ST00298,Almaz,Nigatu,F,Grade 3,A,Nefas Silk Campus,2016-04-30
ST00299,Selam,Solomon,F,Grade 10,C,Nefas Silk Campus,2014-08-02
ST00300,Henok,Tadesse,M,Grade 4,A,Nefas Silk Campus,2014-11-12
ST00301,Eden,Alemu,F,Grade 2,A,Akaki Campus,2012-05-22
ST00302,Ruth,Solomon,F,Grade 4,C,Nefas Silk Campus,2013-01-06
ST00303,Biniam,Yohannes,M,Grade 1,B,Alem Bank Campus,2016-03-11
ST00304,Solomon,Kebede,M,Grade 9,B,Akaki Campus,2008-03-29
ST00305,Mekdes,Tesfaye,F,Grade 6,C,Akaki Campus,2013-09-13
ST00306,Kidus,Girma,M,Grade 11,C,Alem Bank Campus,2007-02-10
ST00307,Eden,Solomon,F,Grade 2,A,Nefas Silk Campus,2016-09-13
ST00308,Tigist,Tadesse,F,Grade 10,B,Akaki Campus,2010-12-18
ST00309,Fikirte,Nigatu,F,Grade 8,B,Akaki Campus,2011-07-26
ST00310,Solomon,Nigatu,M,Grade 2,C,Akaki Campus,2009-02-17
ST00311,Saba,Bekele,F,Grade 2,B,Akaki Campus,2014-09-16
ST00312,Hana,Abebe,F,Grade 5,B,Alem Bank Campus,2015-12-20
ST00313,Tigist,Girma,F,Grade 4,C,Akaki Campus,2007-12-14
ST00314,Henok,Desta,M,Grade 3,B,Nefas Silk Campus,2014-11-12
ST00315,Liya,Solomon,F,Grade 1,B,Nefas Silk Campus,2012-03-28
ST00316,Genet,Getachew,F,Grade 5,A,Nefas Silk Campus,2012-07-12
ST00317,Daniel,Worku,M,Grade 11,A,Akaki Campus,2011-06-08
ST00318,Selam,Getachew,F,Grade 4,C,Akaki Campus,2009-01-19
ST00319,Ruth,Desta,F,Grade 11,C,Alem Bank Campus,2007-05-23
ST00320,Kaleb,Bekele,M,Grade 12,C,Akaki Campus,2010-10-05
ST00321,Elias,Mekonnen,M,Grade 10,C,Nefas Silk Campus,2012-12-26
ST00322,Saron,Yohannes,F,Grade 5,A,Alem Bank Campus,2015-10-14
ST00323,Rahel,Abebe,F,Grade 6,B,Akaki Campus,2014-10-02
ST00324,Abel,Yohannes,M,Grade 8,B,Akaki Campus,2015-08-07
ST00325,Selam,Yohannes,F,Grade 10,C,Akaki Campus,2010-03-10
ST00326,Almaz,Fikre,F,Grade 2,A,Akaki Campus,2015-07-15
ST00327,Nahom,Fikre,M,Grade 2,A,Nefas Silk Campus,2015-10-08
ST00328,Tewodros,Tesema,M,Grade 1,A,Nefas Silk Campus,2017-09-05
ST00329,Henok,Girma,M,Grade 10,C,Akaki Campus,2013-02-12
ST00330,Liya,Kassa,F,Grade 6,C,Nefas Silk Campus,2008-09-13
ST00331,Kaleb,Abebe,M,Grade 6,C,Nefas Silk Campus,2012-11-06
ST00332,Meron,Yohannes,F,Grade 3,B,Nefas Silk Campus,2015-12-20
